postcode,zone,zone_name,color,delivery_days,depot
0010,1,Sone 1,#1D4ED8,,
0015,1,Sone 1,#1D4ED8,,
0026,1,Sone 1,#1D4ED8,,
0037,1,Sone 1,#1D4ED8,,
0050,1,Sone 1,#1D4ED8,,
0139,7,Sone 7,#22C55E,,
0150,1,Sone 1,#1D4ED8,,
0151,1,Sone 1,#1D4ED8,,
0152,1,Sone 1,#1D4ED8,,
0153,1,Sone 1,#1D4ED8,,
0154,1,Sone 1,#1D4ED8,,
0155,1,Sone 1,#1D4ED8,,
0157,1,Sone 1,#1D4ED8,,
0158,1,Sone 1,#1D4ED8,,
0159,1,Sone 1,#1D4ED8,,
0160,1,Sone 1,#1D4ED8,,
0161,1,Sone 1,#1D4ED8,,
0162,1,Sone 1,#1D4ED8,,
0164,1,Sone 1,#1D4ED8,,
0165,1,Sone 1,#1D4ED8,,
0166,1,Sone 1,#1D4ED8,,
0167,1,Sone 1,#1D4ED8,,
0168,1,Sone 1,#1D4ED8,,
0169,1,Sone 1,#1D4ED8,,
0170,1,Sone 1,#1D4ED8,,
0171,1,Sone 1,#1D4ED8,,
0172,1,Sone 1,#1D4ED8,,
0173,1,Sone 1,#1D4ED8,,
0174,1,Sone 1,#1D4ED8,,
0175,1,Sone 1,#1D4ED8,,
0176,1,Sone 1,#1D4ED8,,
0177,1,Sone 1,#1D4ED8,,
0178,1,Sone 1,#1D4ED8,,
0179,1,Sone 1,#1D4ED8,,
0180,1,Sone 1,#1D4ED8,,
0181,1,Sone 1,#1D4ED8,,
0182,1,Sone 1,#1D4ED8,,
0183,1,Sone 1,#1D4ED8,,
0184,1,Sone 1,#1D4ED8,,
0185,1,Sone 1,#1D4ED8,,
0186,1,Sone 1,#1D4ED8,,
0187,1,Sone 1,#1D4ED8,,
0188,1,Sone 1,#1D4ED8,,
0190,1,Sone 1,#1D4ED8,,
0191,1,Sone 1,#1D4ED8,,
0192,1,Sone 1,#1D4ED8,,
0193,7,Sone 7,#22C55E,,
0194,1,Sone 1,#1D4ED8,,
0195,1,Sone 1,#1D4ED8,,
0196,1,Sone 1,#1D4ED8,,
0198,7,Sone 7,#22C55E,,
0250,1,Sone 1,#1D4ED8,,
0251,1,Sone 1,#1D4ED8,,
0252,1,Sone 1,#1D4ED8,,
0253,1,Sone 1,#1D4ED8,,
0254,1,Sone 1,#1D4ED8,,
0255,1,Sone 1,#1D4ED8,,
0256,1,Sone 1,#1D4ED8,,
0257,1,Sone 1,#1D4ED8,,
0258,1,Sone 1,#1D4ED8,,
0259,1,Sone 1,#1D4ED8,,
0260,1,Sone 1,#1D4ED8,,
0262,1,Sone 1,#1D4ED8,,
0263,1,Sone 1,#1D4ED8,,
0264,1,Sone 1,#1D4ED8,,
0265,1,Sone 1,#1D4ED8,,
0266,1,Sone 1,#1D4ED8,,
0267,1,Sone 1,#1D4ED8,,
0268,1,Sone 1,#1D4ED8,,
0270,1,Sone 1,#1D4ED8,,
0271,1,Sone 1,#1D4ED8,,
0272,1,Sone 1,#1D4ED8,,
0273,1,Sone 1,#1D4ED8,,
0274,1,Sone 1,#1D4ED8,,
0275,1,Sone 1,#1D4ED8,,
0276,1,Sone 1,#1D4ED8,,
0277,1,Sone 1,#1D4ED8,,
0278,1,Sone 1,#1D4ED8,,
0279,1,Sone 1,#1D4ED8,,
0280,1,Sone 1,#1D4ED8,,
0281,1,Sone 1,#1D4ED8,,
0282,1,Sone 1,#1D4ED8,,
0283,1,Sone 1,#1D4ED8,,
0284,1,Sone 1,#1D4ED8,,
0286,1,Sone 1,#1D4ED8,,
0287,1,Sone 1,#1D4ED8,,
0340,1,Sone 1,#1D4ED8,,
0349,1,Sone 1,#1D4ED8,,
0350,1,Sone 1,#1D4ED8,,
0351,1,Sone 1,#1D4ED8,,
0352,1,Sone 1,#1D4ED8,,
0353,1,Sone 1,#1D4ED8,,
0354,1,Sone 1,#1D4ED8,,
0355,1,Sone 1,#1D4ED8,,
0356,1,Sone 1,#1D4ED8,,
0357,1,Sone 1,#1D4ED8,,
0358,1,Sone 1,#1D4ED8,,
0359,1,Sone 1,#1D4ED8,,
0360,1,Sone 1,#1D4ED8,,
0361,1,Sone 1,#1D4ED8,,
0362,1,Sone 1,#1D4ED8,,
0363,1,Sone 1,#1D4ED8,,
0364,1,Sone 1,#1D4ED8,,
0365,1,Sone 1,#1D4ED8,,
0366,1,Sone 1,#1D4ED8,,
0367,1,Sone 1,#1D4ED8,,
0368,1,Sone 1,#1D4ED8,,
0369,1,Sone 1,#1D4ED8,,
0370,1,Sone 1,#1D4ED8,,
0371,1,Sone 1,#1D4ED8,,
0372,1,Sone 1,#1D4ED8,,
0373,1,Sone 1,#1D4ED8,,
0374,1,Sone 1,#1D4ED8,,
0375,1,Sone 1,#1D4ED8,,
0376,1,Sone 1,#1D4ED8,,
0377,1,Sone 1,#1D4ED8,,
0378,1,Sone 1,#1D4ED8,,
0379,1,Sone 1,#1D4ED8,,
0380,1,Sone 1,#1D4ED8,,
0381,1,Sone 1,#1D4ED8,,
0382,1,Sone 1,#1D4ED8,,
0383,1,Sone 1,#1D4ED8,,
0445,1,Sone 1,#1D4ED8,,
0450,1,Sone 1,#1D4ED8,,
0451,1,Sone 1,#1D4ED8,,
0452,1,Sone 1,#1D4ED8,,
0454,1,Sone 1,#1D4ED8,,
0455,1,Sone 1,#1D4ED8,,
0456,1,Sone 1,#1D4ED8,,
0457,1,Sone 1,#1D4ED8,,
0458,1,Sone 1,#1D4ED8,,
0459,1,Sone 1,#1D4ED8,,
0460,1,Sone 1,#1D4ED8,,
0461,1,Sone 1,#1D4ED8,,
0462,1,Sone 1,#1D4ED8,,
0463,1,Sone 1,#1D4ED8,,
0464,1,Sone 1,#1D4ED8,,
0465,1,Sone 1,#1D4ED8,,
0467,1,Sone 1,#1D4ED8,,
0468,1,Sone 1,#1D4ED8,,
0469,1,Sone 1,#1D4ED8,,
0470,1,Sone 1,#1D4ED8,,
0472,1,Sone 1,#1D4ED8,,
0473,1,Sone 1,#1D4ED8,,
0474,1,Sone 1,#1D4ED8,,
0475,1,Sone 1,#1D4ED8,,
0476,1,Sone 1,#1D4ED8,,
0477,1,Sone 1,#1D4ED8,,
0478,1,Sone 1,#1D4ED8,,
0479,1,Sone 1,#1D4ED8,,
0480,1,Sone 1,#1D4ED8,,
0481,1,Sone 1,#1D4ED8,,
0482,1,Sone 1,#1D4ED8,,
0483,1,Sone 1,#1D4ED8,,
0484,1,Sone 1,#1D4ED8,,
0485,1,Sone 1,#1D4ED8,,
0486,1,Sone 1,#1D4ED8,,
0487,1,Sone 1,#1D4ED8,,
0488,1,Sone 1,#1D4ED8,,
0489,1,Sone 1,#1D4ED8,,
0490,1,Sone 1,#1D4ED8,,
0491,1,Sone 1,#1D4ED8,,
0492,1,Sone 1,#1D4ED8,,
0493,1,Sone 1,#1D4ED8,,
0494,1,Sone 1,#1D4ED8,,
0495,1,Sone 1,#1D4ED8,,
0496,1,Sone 1,#1D4ED8,,
0550,1,Sone 1,#1D4ED8,,
0551,1,Sone 1,#1D4ED8,,
0552,1,Sone 1,#1D4ED8,,
0553,1,Sone 1,#1D4ED8,,
0554,1,Sone 1,#1D4ED8,,
0555,1,Sone 1,#1D4ED8,,
0556,1,Sone 1,#1D4ED8,,
0557,1,Sone 1,#1D4ED8,,
0558,1,Sone 1,#1D4ED8,,
0559,1,Sone 1,#1D4ED8,,
0560,1,Sone 1,#1D4ED8,,
0561,1,Sone 1,#1D4ED8,,
0562,1,Sone 1,#1D4ED8,,
0563,1,Sone 1,#1D4ED8,,
0564,1,Sone 1,#1D4ED8,,
0565,1,Sone 1,#1D4ED8,,
0566,1,Sone 1,#1D4ED8,,
0567,1,Sone 1,#1D4ED8,,
0568,1,Sone 1,#1D4ED8,,
0569,1,Sone 1,#1D4ED8,,
0570,1,Sone 1,#1D4ED8,,
0571,1,Sone 1,#1D4ED8,,
0572,1,Sone 1,#1D4ED8,,
0573,1,Sone 1,#1D4ED8,,
0574,1,Sone 1,#1D4ED8,,
0575,1,Sone 1,#1D4ED8,,
0576,1,Sone 1,#1D4ED8,,
0577,1,Sone 1,#1D4ED8,,
0578,1,Sone 1,#1D4ED8,,
0579,1,Sone 1,#1D4ED8,,
0580,10,Sone 10,#F59E0B,,
0581,10,Sone 10,#F59E0B,,
0582,10,Sone 10,#F59E0B,,
0583,10,Sone 10,#F59E0B,,
0584,10,Sone 10,#F59E0B,,
0585,1,Sone 1,#1D4ED8,,
0586,10,Sone 10,#F59E0B,,
0587,1,Sone 1,#1D4ED8,,
0588,1,Sone 1,#1D4ED8,,
0589,10,Sone 10,#F59E0B,,
0590,10,Sone 10,#F59E0B,,
0591,10,Sone 10,#F59E0B,,
0592,10,Sone 10,#F59E0B,,
0593,10,Sone 10,#F59E0B,,
0594,10,Sone 10,#F59E0B,,
0595,10,Sone 10,#F59E0B,,
0596,10,Sone 10,#F59E0B,,
0597,10,Sone 10,#F59E0B,,
0598,10,Sone 10,#F59E0B,,
0650,1,Sone 1,#1D4ED8,,
0651,1,Sone 1,#1D4ED8,,
0652,1,Sone 1,#1D4ED8,,
0653,1,Sone 1,#1D4ED8,,
0654,1,Sone 1,#1D4ED8,,
0655,1,Sone 1,#1D4ED8,,
0656,1,Sone 1,#1D4ED8,,
0657,1,Sone 1,#1D4ED8,,
0658,1,Sone 1,#1D4ED8,,
0659,1,Sone 1,#1D4ED8,,
0660,1,Sone 1,#1D4ED8,,
0661,1,Sone 1,#1D4ED8,,
0662,1,Sone 1,#1D4ED8,,
0663,1,Sone 1,#1D4ED8,,
0664,10,Sone 10,#F59E0B,,
0665,10,Sone 10,#F59E0B,,
0666,10,Sone 10,#F59E0B,,
0667,10,Sone 10,#F59E0B,,
0668,10,Sone 10,#F59E0B,,
0669,10,Sone 10,#F59E0B,,
0670,10,Sone 10,#F59E0B,,
0671,7,Sone 7,#22C55E,,
0672,10,Sone 10,#F59E0B,,
0673,10,Sone 10,#F59E0B,,
0674,10,Sone 10,#F59E0B,,
0675,10,Sone 10,#F59E0B,,
0676,10,Sone 10,#F59E0B,,
0677,7,Sone 7,#22C55E,,
0678,7,Sone 7,#22C55E,,
0679,7,Sone 7,#22C55E,,
0680,7,Sone 7,#22C55E,,
0681,7,Sone 7,#22C55E,,
0682,7,Sone 7,#22C55E,,
0683,7,Sone 7,#22C55E,,
0684,7,Sone 7,#22C55E,,
0685,7,Sone 7,#22C55E,,
0686,7,Sone 7,#22C55E,,
0687,7,Sone 7,#22C55E,,
0688,7,Sone 7,#22C55E,,
0689,7,Sone 7,#22C55E,,
0690,7,Sone 7,#22C55E,,
0691,7,Sone 7,#22C55E,,
0692,7,Sone 7,#22C55E,,
0693,7,Sone 7,#22C55E,,
0694,7,Sone 7,#22C55E,,
0750,1,Sone 1,#1D4ED8,,
0751,1,Sone 1,#1D4ED8,,
0752,1,Sone 1,#1D4ED8,,
0753,1,Sone 1,#1D4ED8,,
0754,1,Sone 1,#1D4ED8,,
0755,1,Sone 1,#1D4ED8,,
0756,1,Sone 1,#1D4ED8,,
0757,1,Sone 1,#1D4ED8,,
0758,1,Sone 1,#1D4ED8,,
0760,1,Sone 1,#1D4ED8,,
0763,1,Sone 1,#1D4ED8,,
0764,1,Sone 1,#1D4ED8,,
0765,1,Sone 1,#1D4ED8,,
0766,1,Sone 1,#1D4ED8,,
0767,1,Sone 1,#1D4ED8,,
0768,1,Sone 1,#1D4ED8,,
0770,1,Sone 1,#1D4ED8,,
0771,1,Sone 1,#1D4ED8,,
0772,1,Sone 1,#1D4ED8,,
0773,1,Sone 1,#1D4ED8,,
0774,1,Sone 1,#1D4ED8,,
0775,1,Sone 1,#1D4ED8,,
0776,1,Sone 1,#1D4ED8,,
0777,1,Sone 1,#1D4ED8,,
0778,1,Sone 1,#1D4ED8,,
0779,1,Sone 1,#1D4ED8,,
0781,1,Sone 1,#1D4ED8,,
0782,1,Sone 1,#1D4ED8,,
0783,1,Sone 1,#1D4ED8,,
0784,1,Sone 1,#1D4ED8,,
0785,1,Sone 1,#1D4ED8,,
0786,1,Sone 1,#1D4ED8,,
0787,1,Sone 1,#1D4ED8,,
0788,1,Sone 1,#1D4ED8,,
0789,1,Sone 1,#1D4ED8,,
0790,1,Sone 1,#1D4ED8,,
0791,1,Sone 1,#1D4ED8,,
0850,1,Sone 1,#1D4ED8,,
0851,1,Sone 1,#1D4ED8,,
0852,1,Sone 1,#1D4ED8,,
0853,1,Sone 1,#1D4ED8,,
0854,1,Sone 1,#1D4ED8,,
0855,1,Sone 1,#1D4ED8,,
0856,1,Sone 1,#1D4ED8,,
0857,1,Sone 1,#1D4ED8,,
0858,1,Sone 1,#1D4ED8,,
0860,1,Sone 1,#1D4ED8,,
0861,1,Sone 1,#1D4ED8,,
0862,1,Sone 1,#1D4ED8,,
0863,1,Sone 1,#1D4ED8,,
0864,1,Sone 1,#1D4ED8,,
0870,1,Sone 1,#1D4ED8,,
0871,1,Sone 1,#1D4ED8,,
0872,1,Sone 1,#1D4ED8,,
0873,1,Sone 1,#1D4ED8,,
0874,1,Sone 1,#1D4ED8,,
0875,1,Sone 1,#1D4ED8,,
0876,1,Sone 1,#1D4ED8,,
